Date,PM10 AQI Value,Main Pollutant,Site Name,Site ID,Source
7/3/2004,30,,Santa Clarita,06-037-6012,AQS
7/4/2004,26,,Lancaster-Division Street,06-037-9033,AQS
7/5/2004,26,,Lancaster-Division Street,06-037-9033,AQS
7/6/2004,25,,Lancaster-Division Street,06-037-9033,AQS
7/7/2004,28,,Lancaster-Division Street,06-037-9033,AQS
7/8/2004,28,,Burbank,06-037-1002,AQS
7/9/2004,18,,Lancaster-Division Street,06-037-9033,AQS
7/10/2004,21,,Lancaster-Division Street,06-037-9033,AQS
7/11/2004,20,,Lancaster-Division Street,06-037-9033,AQS
7/12/2004,26,,Lancaster-Division Street,06-037-9033,AQS
7/13/2004,15,,Lancaster-Division Street,06-037-9033,AQS
7/14/2004,35,,Los Angeles-North Main Street,06-037-1103,AQS
7/15/2004,20,,Lancaster-Division Street,06-037-9033,AQS
7/16/2004,26,,Lancaster-Division Street,06-037-9033,AQS
7/17/2004,65,,Lancaster-Division Street,06-037-9033,AQS
7/18/2004,53,,Lancaster-Division Street,06-037-9033,AQS
7/19/2004,27,,Lancaster-Division Street,06-037-9033,AQS
7/20/2004,46,,Azusa,06-037-0002,AQS
7/21/2004,24,,Lancaster-Division Street,06-037-9033,AQS
7/22/2004,44,,Azusa,06-037-0002,AQS
7/23/2004,22,,Lancaster-Division Street,06-037-9033,AQS
7/24/2004,23,,Lancaster-Division Street,06-037-9033,AQS
7/25/2004,17,,Lancaster-Division Street,06-037-9033,AQS
7/26/2004,49,,Azusa,06-037-0002,AQS
7/27/2004,27,,Lancaster-Division Street,06-037-9033,AQS
7/28/2004,40,,Azusa,06-037-0002,AQS
7/29/2004,31,,Lancaster-Division Street,06-037-9033,AQS
7/30/2004,23,,Lancaster-Division Street,06-037-9033,AQS
7/31/2004,18,,Lancaster-Division Street,06-037-9033,AQS
8/1/2004,32,,Azusa,06-037-0002,AQS
8/2/2004,23,,Lancaster-Division Street,06-037-9033,AQS
8/3/2004,25,,Lancaster-Division Street,06-037-9033,AQS
8/4/2004,30,,Lancaster-Division Street,06-037-9033,AQS
