PM10 AQI Value,Date,Month,City,ALAND,Total,TotalNotHi,White,Black,Native,Asian,NativePaci,OtherNotHi,Hispanic
38,2015-02-11,February,Long Beach,177191,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,312306,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,129180,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,218963,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,325130,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,68317,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,162464,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,161556,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,168406,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,122961,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,99677,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,99911,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,66181,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,59145,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,213925,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,165996,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,84696,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,258414,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,246836,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,103178,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,136748,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,161000,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,202217,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,121588,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,1316269,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,338172,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,160137,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,160804,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,242877,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,94468,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,202895,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,102408,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,103033,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,73838,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,90051,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,6478839,1619012,731170,271473,207298,4556,191063,14076,83487,887842
38,2015-02-11,February,Long Beach,12659821,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,86659,1619012,731170,271473,207298,4556,191063,14076,83487,887842
